1705173102	1828485	8682760
1705173102	1828488	8530633
1705173102	1828490	8593878
1705173102	1828494	8350481
1705173102	1828498	8374834
1705173102	1828502	8360460
1705173102	1828506	8864837
1705173102	1828508	8772283
1705173132	1828485	30373
1705173132	1828488	41495
1705173132	1828490	67399
1705173132	1828494	36789
1705173132	1828498	39793
1705173132	1828502	31659
1705173132	1828506	31482
1705173132	1828508	35331
1705173162	1828485	25761
1705173162	1828488	2874
1705173162	1828490	74185
1705173162	1828494	70215
1705173162	1828498	3864
1705173162	1828502	20854
1705173162	1828506	10977
1705173162	1828508	92538
1705173192	1828485	33698
1705173192	1828488	120475
1705173192	1828490	61227
1705173192	1828494	11161
1705173192	1828498	30050
1705173192	1828502	11333
1705173192	1828506	20620
1705173192	1828508	45194
1705173222	1828485	58336
1705173222	1828488	60917
1705173222	1828490	12433
1705173222	1828494	31992
1705173222	1828498	153533
1705173222	1828502	10694
1705173222	1828506	4270
1705173222	1828508	18575
1705173252	1828485	38006
1705173252	1828488	2443
1705173252	1828490	28106
1705173252	1828494	6923
1705173252	1828498	82836
1705173252	1828502	73267
1705173252	1828506	68550
1705173252	1828508	26991
1705173282	1828485	8798
1705173282	1828488	69591
1705173282	1828490	3499
1705173282	1828494	21121
1705173282	1828498	2575
1705173282	1828502	27796
1705173282	1828506	37193
1705173282	1828508	35805
1705173312	1828485	20055
1705173312	1828488	1489
1705173312	1828490	74451
1705173312	1828494	34448
1705173312	1828498	39078
1705173312	1828502	41795
1705173312	1828506	28170
1705173312	1828508	904
1705173342	1828485	38541
1705173342	1828488	35967
1705173342	1828490	25625
1705173342	1828494	69035
1705173342	1828498	30323
1705173342	1828502	47204
1705173342	1828506	61101
1705173342	1828508	29661
1705173372	1828485	41691
1705173372	1828488	928
1705173372	1828490	18554
1705173372	1828494	40757
1705173372	1828498	69776
1705173372	1828502	62140
1705173372	1828506	37439
1705173372	1828508	20648
1705173402	1828485	39142
1705173402	1828488	11575
1705173402	1828490	69223
1705173402	1828494	6671
1705173402	1828498	1508
1705173402	1828502	39117
1705173402	1828506	75884
1705173402	1828508	1268
1705173432	1828485	24143
1705173432	1828488	32248
1705173432	1828490	37658
1705173432	1828494	20314
1705173432	1828498	932
1705173432	1828502	42492
1705173432	1828506	31686
1705173432	1828508	41545
1705173462	1828485	154488
1705173462	1828488	12095
1705173462	1828490	52350
1705173462	1828494	24767
1705173462	1828498	754
1705173462	1828502	45231
1705173462	1828506	7763
1705173462	1828508	34186
1705173492	1828485	45820
1705173492	1828488	1173
1705173492	1828490	83644
1705173492	1828494	56614
1705173492	1828498	12134
1705173492	1828502	39548
1705173492	1828506	20692
1705173492	1828508	63355
1705173522	1828485	18318
1705173522	1828488	30050
1705173522	1828490	17973
1705173522	1828494	68450
1705173522	1828498	6679
1705173522	1828502	19709
1705173522	1828506	51710
1705173522	1828508	44917
1705173552	1828485	54262
1705173552	1828488	56932
1705173552	1828490	27581
1705173552	1828494	31455
1705173552	1828498	54765
1705173552	1828502	26156
1705173552	1828506	31146
1705173552	1828508	56361
1705173582	1828485	965
1705173582	1828488	31911
1705173582	1828490	36047
1705173582	1828494	57081
1705173582	1828498	27224
1705173582	1828502	19012
1705173582	1828506	61803
1705173582	1828508	32914
1705173612	1828485	68678
1705173612	1828488	35895
1705173612	1828490	1854
1705173612	1828494	57845
1705173612	1828498	939
1705173612	1828502	52415
1705173612	1828506	42429
1705173612	1828508	37329
1705173642	1828485	1039
1705173642	1828488	49451
1705173642	1828490	39461
1705173642	1828494	48400
1705173642	1828498	1080
1705173642	1828502	68479
1705173642	1828506	14110
1705173642	1828508	43323
1705173672	1828485	885
1705173672	1828488	51802
1705173672	1828490	9126
1705173672	1828494	45103
1705173672	1828498	1373
1705173672	1828502	35025
1705173672	1828506	126762
1705173672	1828508	64996
1705173702	1828485	1192
1705173702	1828488	50146
1705173702	1828490	5392
1705173702	1828494	63114
1705173702	1828498	9383
1705173702	1828502	61170
