2024-04-15 11:24:45.912328+00	1380469
2024-04-15 11:24:40.800861+00	1380468
2024-04-15 11:24:38.424851+00	1380467
2024-04-15 11:24:36.039404+00	1380466
2024-04-15 11:24:33.096994+00	1380465
2024-04-15 11:24:30.486895+00	1380464
2024-04-15 11:24:26.009713+00	1380463
2024-04-15 11:24:23.795066+00	1380462
2024-04-15 11:24:21.469245+00	1380461
2024-04-15 11:24:16.792726+00	1380460
2024-04-15 11:24:14.251269+00	1380459
2024-04-15 11:24:11.538344+00	1380458
2024-04-15 11:24:09.007826+00	1380457
2024-04-15 11:24:04.733736+00	1380456
2024-04-15 11:24:02.501684+00	1380455
2024-04-15 11:23:59.978232+00	1380454
2024-04-15 11:23:55.647984+00	1380453
2024-04-15 11:23:52.814923+00	1380452
2024-04-15 11:23:50.556423+00	1380451
2024-04-15 11:23:48.118743+00	1380450
2024-04-15 11:23:43.650162+00	1380449
2024-04-15 11:23:41.422809+00	1380448
2024-04-15 11:23:39.173565+00	1380447
2024-04-15 11:23:36.357995+00	1380446
2024-04-15 11:23:36.345638+00	1380445
2024-04-15 11:23:31.210775+00	1380444
2024-04-15 11:23:28.463971+00	1380443
2024-04-15 11:23:25.918707+00	1380442
2024-04-15 11:23:23.528077+00	1380441
2024-04-15 11:23:18.867964+00	1380440
2024-04-15 11:23:16.198173+00	1380439
2024-04-15 11:23:13.771758+00	1380438
2024-04-15 11:23:11.280926+00	1380437
2024-04-15 11:23:08.573894+00	1380436
2024-04-15 11:23:04.06337+00	1380435
2024-04-15 11:23:01.729596+00	1380434
2024-04-15 11:22:59.135171+00	1380433
2024-04-15 11:22:56.363368+00	1380432
2024-04-15 11:22:51.593216+00	1380431
2024-04-15 11:22:49.27188+00	1380430
2024-04-15 11:22:46.851609+00	1380429
2024-04-15 11:22:44.362967+00	1380428
2024-04-15 11:22:40.002666+00	1380427
2024-04-15 11:22:37.73074+00	1380426
2024-04-15 11:22:33.53332+00	1380425
2024-04-15 11:22:31.248752+00	1380424
2024-04-15 11:22:28.871807+00	1380423
2024-04-15 11:22:24.583886+00	1380422
2024-04-15 11:22:22.209139+00	1380421
2024-04-15 11:22:19.809465+00	1380420
2024-04-15 11:22:17.519217+00	1380419
2024-04-15 11:22:12.856472+00	1380418
2024-04-15 11:22:10.573177+00	1380417
2024-04-15 11:22:06.446123+00	1380416
2024-04-15 11:22:04.213544+00	1380415
2024-04-15 11:22:01.98214+00	1380414
2024-04-15 11:21:57.538571+00	1380413
2024-04-15 11:21:55.233123+00	1380412
2024-04-15 11:21:52.583146+00	1380411
2024-04-15 11:21:50.346054+00	1380410
2024-04-15 11:21:46.026514+00	1380409
2024-04-15 11:21:43.757716+00	1380408
2024-04-15 11:21:39.844826+00	1380407
2024-04-15 11:21:37.804243+00	1380406
2024-04-15 11:21:33.593585+00	1380405
2024-04-15 11:21:33.59241+00	1380404
2024-04-15 11:21:28.978983+00	1380403
2024-04-15 11:21:26.444677+00	1380402
2024-04-15 11:21:23.996285+00	1380401
2024-04-15 11:21:21.512872+00	1380400
2024-04-15 11:21:16.937547+00	1380399
2024-04-15 11:21:14.503105+00	1380398
2024-04-15 11:21:11.812179+00	1380397
2024-04-15 11:21:09.130923+00	1380396
2024-04-15 11:21:06.618668+00	1380395
2024-04-15 11:21:02.048113+00	1380394
2024-04-15 11:20:59.629+00	1380393
2024-04-15 11:20:57.200959+00	1380392
2024-04-15 11:20:54.420978+00	1380391
2024-04-15 11:20:50.127331+00	1380390
2024-04-15 11:20:47.578318+00	1380389
2024-04-15 11:20:45.143555+00	1380388
2024-04-15 11:20:42.932263+00	1380387
2024-04-15 11:20:37.944399+00	1380386
2024-04-15 11:20:35.556902+00	1380385
2024-04-15 11:20:33.233314+00	1380384
2024-04-15 11:20:28.825876+00	1380383
2024-04-15 11:20:26.621832+00	1380382
2024-04-15 11:20:24.361943+00	1380381
2024-04-15 11:20:19.921548+00	1380380
2024-04-15 11:20:17.754332+00	1380379
2024-04-15 11:20:15.469768+00	1380378
2024-04-15 11:20:11.08157+00	1380377
2024-04-15 11:20:08.891173+00	1380376
2024-04-15 11:20:06.527845+00	1380375
2024-04-15 11:20:03.150081+00	1380374
2024-04-15 11:20:00.18607+00	1380373
2024-04-15 11:19:57.415392+00	1380372
2024-04-15 11:19:52.848032+00	1380371
2024-04-15 11:19:50.509527+00	1380370
2024-04-15 11:19:47.933608+00	1380369
2024-04-15 11:19:45.426967+00	1380368
2024-04-15 11:19:44.817849+00	1380367
2024-04-15 11:19:41.389527+00	1380366
2024-04-15 11:19:41.380551+00	1380365
2024-04-15 11:19:37.879218+00	1380364
2024-04-15 11:19:32.708319+00	1380363
2024-04-15 11:19:30.243585+00	1380362
2024-04-15 11:19:25.626885+00	1380361
2024-04-15 11:19:23.09842+00	1380360
2024-04-15 11:19:20.512502+00	1380359
2024-04-15 11:19:18.059468+00	1380358
2024-04-15 11:19:15.39556+00	1380357
2024-04-15 11:19:12.840628+00	1380356
2024-04-15 11:19:08.141711+00	1380355
2024-04-15 11:19:05.719777+00	1380354
2024-04-15 11:19:03.292824+00	1380353
2024-04-15 11:19:00.464808+00	1380352
2024-04-15 11:18:55.952748+00	1380351
2024-04-15 11:18:53.350986+00	1380350
2024-04-15 11:18:50.891318+00	1380349
2024-04-15 11:18:48.498539+00	1380348
2024-04-15 11:18:43.913531+00	1380347
2024-04-15 11:18:41.402875+00	1380346
2024-04-15 11:18:38.956432+00	1380345
2024-04-15 11:18:34.718016+00	1380344
2024-04-15 11:18:32.330668+00	1380343
2024-04-15 11:18:30.039607+00	1380342
2024-04-15 11:18:25.827425+00	1380341
2024-04-15 11:18:23.725977+00	1380340
2024-04-15 11:18:21.456469+00	1380339
2024-04-15 11:18:18.575175+00	1380338
2024-04-15 11:18:15.993874+00	1380337
2024-04-15 11:18:13.323619+00	1380336
2024-04-15 11:18:10.050025+00	1380335
2024-04-15 11:18:07.319547+00	1380334
2024-04-15 11:18:04.689487+00	1380333
2024-04-15 11:18:02.183747+00	1380332
2024-04-15 11:17:58.88864+00	1380331
2024-04-15 11:17:56.212578+00	1380330
2024-04-15 11:17:50.844758+00	1380329
2024-04-15 11:17:48.493709+00	1380328
2024-04-15 11:17:46.084432+00	1380327
2024-04-15 11:17:43.766824+00	1380326
2024-04-15 11:17:39.008059+00	1380325
2024-04-15 11:17:36.587645+00	1380324
2024-04-15 11:17:34.153333+00	1380323
2024-04-15 11:17:31.468925+00	1380322
2024-04-15 11:17:26.795+00	1380321
2024-04-15 11:17:24.395137+00	1380320
2024-04-15 11:17:21.515745+00	1380319
2024-04-15 11:17:19.122315+00	1380318
2024-04-15 11:17:14.667258+00	1380317
2024-04-15 11:17:12.154001+00	1380316
2024-04-15 11:17:11.598375+00	1380315
2024-04-15 11:17:08.606747+00	1380314
2024-04-15 11:17:06.040729+00	1380313
2024-04-15 11:17:03.303212+00	1380312
2024-04-15 11:16:58.215634+00	1380311
2024-04-15 11:16:55.566966+00	1380310
2024-04-15 11:16:53.009624+00	1380309
2024-04-15 11:16:50.376959+00	1380308
2024-04-15 11:16:47.788968+00	1380307
2024-04-15 11:16:42.932364+00	1380306
2024-04-15 11:16:40.376135+00	1380305
2024-04-15 11:16:37.568528+00	1380304
2024-04-15 11:16:34.892895+00	1380303
2024-04-15 11:16:32.396724+00	1380302
2024-04-15 11:16:27.494273+00	1380301
2024-04-15 11:16:24.763011+00	1380300
2024-04-15 11:16:22.350447+00	1380299
2024-04-15 11:16:20.000665+00	1380298
2024-04-15 11:16:16.977939+00	1380297
2024-04-15 11:16:14.387364+00	1380296
2024-04-15 11:16:10.456485+00	1380295
2024-04-15 11:16:08.162376+00	1380294
2024-04-15 11:16:03.839081+00	1380293
2024-04-15 11:16:01.501381+00	1380292
2024-04-15 11:15:59.048458+00	1380291
2024-04-15 11:15:56.570247+00	1380290
2024-04-15 11:15:52.013379+00	1380289
2024-04-15 11:15:49.627646+00	1380288
2024-04-15 11:15:47.268077+00	1380287
2024-04-15 11:15:42.943922+00	1380286
2024-04-15 11:15:40.593435+00	1380285
2024-04-15 11:15:38.302555+00	1380284
2024-04-15 11:15:33.793584+00	1380283
2024-04-15 11:15:31.267767+00	1380282
2024-04-15 11:15:28.610625+00	1380281
2024-04-15 11:15:26.010429+00	1380280
2024-04-15 11:15:23.136305+00	1380279
2024-04-15 11:15:19.898579+00	1380278
2024-04-15 11:15:17.495643+00	1380277
2024-04-15 11:15:12.731586+00	1380276
2024-04-15 11:15:10.288248+00	1380275
2024-04-15 11:15:07.909726+00	1380274
2024-04-15 11:15:05.433682+00	1380273
2024-04-15 11:15:00.829626+00	1380272
2024-04-15 11:14:58.468045+00	1380271
2024-04-15 11:14:56.021002+00	1380270
2024-04-15 11:14:53.522572+00	1380269
2024-04-15 11:14:48.836293+00	1380268
2024-04-15 11:14:46.207202+00	1380267
2024-04-15 11:14:43.330098+00	1380266
2024-04-15 11:14:40.827742+00	1380265
2024-04-15 11:14:38.423335+00	1380264
2024-04-15 11:14:33.81904+00	1380263
2024-04-15 11:14:31.375405+00	1380262
2024-04-15 11:14:28.366072+00	1380261
2024-04-15 11:14:25.365505+00	1380260
2024-04-15 11:14:22.910524+00	1380259
2024-04-15 11:14:20.512366+00	1380258
2024-04-15 11:14:17.846179+00	1380257
2024-04-15 11:14:15.37338+00	1380256
2024-04-15 11:14:12.922812+00	1380255
