1	999633096704
2	1022240718848
3	965324984320
4	897960767488
5	882165477376
6	858218401792
7	859845857280
8	896161198080
9	897954512896
10	885604655104
11	858434809856
12	904320344064
13	845265936384
14	807493488640
15	905422905344
16	862142861312
17	869852790784
18	907082289152
19	876824862720
20	838289166336
21	870964518912
22	1011595112448
23	951649599488
24	948361097216
25	942468116480
26	1033742970880
27	1040515854336
28	1142358429696
29	1073301176320
30	1039319715840
31	1081349734400
32	1033684303872
33	1095676772352
34	1106648731648
35	1060431261696
36	1050152157184
37	1011180019712
38	951007997952
39	967638265856
40	976248401920
41	882962079744
42	898057121792
43	883307638784
44	907012599808
45	975275986944
46	932995268608
47	952451850240
48	938727960576
49	1051696078848
50	974480838656
51	970713600000
52	948095057920
53	900306276352
54	844067446784
55	874840567808
56	844903878656
57	768607916032
58	767020707840
59	820786827264
60	814074564608
61	937303879680
62	885092614144
63	867064565760
64	1045063073792
65	1077165617152
66	973902192640
67	994790961152
68	973177098240
69	995921780736
70	1020827320320
71	936254435328
72	925690552320
73	971294433280
74	987206496256
75	970885763072
76	1072961318912
77	1083610849280
78	1131026030592
